Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total precipitation amount for UK
Areal series, starting in 1862
Last updated 01-Feb-2020 14:15
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1946  114.7   96.4   50.5   49.1   61.0   93.7  101.3  132.2  147.1   31.5  162.7  112.4   329.4   160.6   327.2   341.3  1152.6
1947   99.1   44.0  141.1  118.0   73.5   82.1   83.9   10.4   86.6   39.9  129.5   82.1   255.5   332.5   176.4   256.0   990.1
1948  181.1   78.5   64.5   68.5   66.5  107.3   68.4  138.6  109.7  107.7   77.8  140.3   341.8   199.6   314.3   295.2  1209.0
1949   91.2   77.7   58.2   92.8   68.7   27.7   58.9   87.7   58.4  157.8  124.9  147.7   309.2   219.7   174.2   341.1  1051.5
1950   67.7  141.1   62.4   96.4   50.5   62.0  115.2  132.5  180.4   78.0  140.0   79.5   356.5   209.2   309.6   398.4  1205.5
1951  115.0  109.7  106.1   88.4   65.2   44.5   73.0  135.1   86.6   40.8  193.2  141.2   304.3   259.8   252.6   320.5  1198.9
1952  108.1   39.9   81.3   60.9   66.3   69.1   51.5  116.7   91.0  120.5   95.0  110.3   289.2   208.4   237.2   306.5  1010.5
1953   50.6   62.3   34.3   81.9   69.9   62.8  119.3   95.5  104.2   79.1  118.5   74.7   223.3   186.1   277.5   301.9   953.1
1954   88.2   93.6   85.4   29.4   93.9   93.7   95.9  118.0  118.9  171.1  181.8  137.8   256.4   208.7   307.6   471.8  1307.8
1955   87.9   76.0   53.4   49.4   99.0   82.1   30.6   31.6   80.4   96.5   64.6  147.1   301.7   201.8   144.3   241.5   898.6
1956  120.6   42.6   45.3   48.4   44.7   76.5  122.9  161.2  105.3   82.0   58.3  140.2   310.4   138.4   360.6   245.7  1048.0
1957  120.6   99.3   92.4   27.6   51.8   57.3  123.2  121.6  120.3  102.3   65.4  119.4   360.1   171.8   302.2   288.1  1101.4
1958  113.9  117.5   51.4   43.7   94.6  100.0  106.7  110.6  119.0  102.0   55.2  120.3   350.8   189.7   317.3   276.2  1134.9
1959  102.7   25.3   73.4   91.7   34.8   61.9   93.3   43.8   23.4  117.8  145.1  176.6   248.3   199.9   198.9   286.3   989.7
1960  126.7   98.8   51.3   68.4   46.5   58.8  111.0  118.2  100.7  146.1  146.9  124.9   402.1   166.2   288.0   393.7  1198.4
1961  118.1   95.6   43.7  100.0   47.1   52.7   84.9  109.2  104.4  145.3   80.9  102.6   338.6   190.8   246.8   330.6  1084.5
1962  151.6   72.4   51.4   71.8   74.3   43.2   64.9  142.8  122.8   54.6   78.6  104.8   326.6   197.6   250.9   255.9  1033.2
1963   32.6   34.4  120.9   82.4   77.1   87.3   64.4  113.5   89.0   92.2  168.2   39.8   171.8   280.5   265.2   349.4  1001.8
1964   44.1   38.1   80.8   78.0   75.1   77.7   69.1   88.0   74.9   79.9   87.0  128.4   121.9   233.8   234.8   241.8   921.0
1965  122.6   24.8   76.6   81.0   70.9   89.6  101.6   90.0  141.7   71.1  106.8  163.3   275.8   228.5   281.3   319.5  1140.0
1966   65.1  126.1   75.8   91.1   86.4  104.6   73.0  100.1   75.2  124.9  107.1  159.4   354.4   253.3   277.7   307.2  1188.7
1967   83.6  109.1  107.0   56.4  131.5   50.9   79.0   84.0  116.6  196.9   93.2   98.0   352.1   294.9   213.9   406.7  1206.4
1968  104.8   53.9   93.0   67.4   84.2   79.3   97.8   67.8  135.3  132.2   75.8   81.3   256.7   244.6   245.0   343.3  1072.8
1969  111.6   72.2   59.6   64.5  108.2   67.3   70.7   76.9   70.5   59.6  144.3   98.4   265.0   232.3   214.9   274.3  1003.6
1970  108.5  107.3   78.3   93.2   41.8   53.8   98.8   94.8   97.3  111.5  174.2   63.0   314.2   213.2   247.3   383.0  1122.4
1971  113.3   59.2   76.0   54.8   58.0   89.0   57.4  106.3   37.2  102.8  114.0   69.0   235.5   188.8   252.7   254.0   937.1
1972  116.8   81.4   77.7   89.1   89.5   92.5   57.9   53.1   36.2   48.3  126.5  118.7   267.2   256.3   203.6   211.0   987.8
1973   69.9   69.1   42.9   72.2   85.6   68.5   86.4   83.2   86.8   62.3   97.3  106.9   257.7   200.7   238.0   246.4   931.1
1974  172.8  112.2   53.1   14.7   55.6   64.8   87.9   93.1  145.1   95.3  148.2  139.3   392.0   123.3   245.8   388.6  1182.1
1975  168.9   36.5   70.5   80.9   41.8   35.8   80.2   61.8  128.8   53.7   96.0   68.3   344.6   193.1   177.8   278.5   923.1
1976  111.7   62.0   77.6   36.1   84.5   38.9   44.5   24.3  141.4  163.4   98.5   92.6   242.0   198.2   107.8   403.4   975.6
1977  103.5  132.3   94.8   80.6   56.1   77.0   39.0   97.0   81.0  107.2  142.6   93.7   328.3   231.5   213.0   330.7  1104.7
1978  127.0   84.9  114.5   47.8   38.7   62.1   84.9   77.1  102.4   53.0  114.1  157.0   305.6   201.0   224.1   269.5  1063.5
1979   94.6   53.6  143.9   75.8  107.2   51.2   57.6  107.4   73.8  101.7  136.4  170.2   305.2   326.9   216.1   311.8  1173.2
1980   90.7   93.8  102.5   18.4   28.4  125.3   84.4  103.7  109.8  148.4  119.6  131.1   354.7   149.3   313.5   377.8  1156.1
1981   98.0   69.7  153.8   49.2   89.3   66.8   66.6   46.1  172.6  157.4  126.1   87.5   298.8   292.2   179.5   456.1  1183.0
1982  102.2   73.4  120.5   30.9   60.8   98.9   39.8  110.5  120.1  141.1  161.6  141.0   263.0   212.2   249.2   422.7  1200.7
1983  150.2   46.7   99.5   89.7  105.3   51.1   38.4   38.7  123.2  141.0   51.1  151.7   337.9   294.5   128.3   315.4  1086.8
1984  170.2   77.6   74.0   28.8   45.3   51.9   36.8   56.6  131.6  137.6  171.1  110.0   399.5   148.2   145.4   440.2  1091.5
1985   76.4   35.3   77.3   84.7   68.8   90.4  105.9  158.5  100.4   59.4   99.0  147.3   221.7   230.8   354.7   258.8  1103.4
1986  146.4   17.3  111.0   84.8  118.7   49.3   66.7  120.4   35.7  118.3  158.5  188.3   311.0   314.4   236.4   312.5  1215.3
